Comunidad,Ref,Titular,NIF/CIF,DomicilioSocial,Localidad,Provincia_RL,CP,FConcesion,FCaducidad,SusceptibleConcesion,SusceptibleMutualizacion,Transferencia,Provincia_FREQ,Municipio,Frecuencia,Unit,FrequencyBand
PAÍS VASCO,BIBI-0700268,"ITELAZPI, S.A.",A95282216,"TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,2007-11-07,2027-12-31,,,,ARABA/ÁLAVA,AMURRIO,22.0745,GHz,13-23.5GHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI, S.A.",A95282216,"TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,2007-11-07,2027-12-31,,,,BIZKAIA,ABADIÑO,12.765,GHz,10-13GHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI, S.A.",A95282216,"TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,2007-11-07,2027-12-31,,,,BIZKAIA,ABADIÑO,12.793,GHz,10-13GHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI, S.A.",A95282216,"TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,2007-11-07,2027-12-31,,,,BIZKAIA,ALONSOTEGI,15.159,GHz,13-23.5GHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI, S.A.",A95282216,"TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,2007-11-07,2027-12-31,,,,BIZKAIA,ALONSOTEGI,23.0755,GHz,13-23.5GHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI, S.A.",A95282216,"TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,2007-11-07,2027-12-31,,,,BIZKAIA,ALONSOTEGI,23.0895,GHz,13-23.5GHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI, S.A.",A95282216,"TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,2007-11-07,2027-12-31,,,,BIZKAIA,ALONSOTEGI,23.1175,GHz,13-23.5GHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI, S.A.",A95282216,"TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,2007-11-07,2027-12-31,,,,BIZKAIA,ARRIGORRIAGA,22.0815,GHz,13-23.5GHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI, S.A.",A95282216,"TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,2007-11-07,2027-12-31,,,,BIZKAIA,BARAKALDO,22.1095,GHz,13-23.5GHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI, S.A.",A95282216,"TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,2007-11-07,2027-12-31,,,,BIZKAIA,BARRIKA,13.031,GHz,13-23.5GHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI, S.A.",A95282216,"TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,2007-11-07,2027-12-31,,,,BIZKAIA,BARRIKA,18.36,GHz,13-23.5GHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI, S.A.",A95282216,"TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,2007-11-07,2027-12-31,,,,BIZKAIA,BERMEO,22.0885,GHz,13-23.5GHz
