Comunidad,Ref,Titular,NIF/CIF,DomicilioSocial,Localidad,Provincia_RL,CP,FConcesion,FCaducidad,SusceptibleConcesion,SusceptibleMutualizacion,Transferencia,Provincia_FREQ,Municipio,Frecuencia,Unit
PAÍS VASCO,BIBI-0700268,"ITELAZPI,S.A.",A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,,,,ARABA/ÁLAVA,AMURRIO,"22074,5",MHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI,S.A.",A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,,,,BIZKAIA,ABADIÑO,12765,MHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI,S.A.",A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,,,,,,12793,MHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI,S.A.",A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,,,,,ALONSOTEGI,15159,MHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI,S.A.",A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,,,,,,"23075,5",MHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI,S.A.",A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,,,,,,"23089,5",MHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI,S.A.",A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,,,,,,"23117,5",MHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI,S.A.",A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,,,,,ARRIGORRIAGA,"22081,5",MHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI,S.A.",A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,,,,,BARAKALDO,"22109,5",MHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI,S.A.",A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,,,,,BARRIKA,13031,MHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI,S.A.",A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,,,,,,18360,MHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI,S.A.",A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,,,,,BERMEO,"22088,5",MHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI,S.A.",A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,,,,,,"23096,5",MHz
PAÍS VASCO,BIBI-0700268,"ITELAZPI,S.A.",A95282216,"CL TEKNOLOGI ELKARTEGIA, EDIFICIO 101",ZAMUDIO,BIZKAIA,48170,07/11/2007,31/12/2027,,,,,,37142,MHz
